=== PASS 1: text + Markdown (no audio) ===
[EN] 68 years (1955–2026)
  EN 1955 (k=2): 5 ok, 0 failed  [text]
  EN 1956 (k=3): 4 ok, 0 failed  [text]
  EN 1957 (k=4): 5 ok, 0 failed  [text]
  EN 1958 (k=5): 5 ok, 0 failed  [text]
  EN 1959 (k=6): 2 ok, 0 failed  [text]
  EN 1960 (k=7): 1 ok, 0 failed  [text]
  EN 1962 (k=60): 1 ok, 0 failed  [text]
  EN 1963 (k=8): 3 ok, 0 failed  [text]
  EN 1964 (k=61): 1 ok, 0 failed  [text]
  EN 1965 (k=9): 9 ok, 0 failed  [text]
  EN 1966 (k=10): 5 ok, 0 failed  [text]
  EN 1967 (k=62): 2 ok, 0 failed  [text]
  EN 1968 (k=63): 1 ok, 0 failed  [text]
  EN 1970 (k=12): 1 ok, 0 failed  [text]
  EN 1971 (k=64): 2 ok, 0 failed  [text]
  EN 1972 (k=65): 3 ok, 0 failed  [text]
  EN 1973 (k=13): 15 ok, 0 failed  [text]
  EN 1974 (k=14): 11 ok, 0 failed  [text]
  EN 1975 (k=15): 22 ok, 0 failed  [text]
  EN 1976 (k=17): 7 ok, 0 failed  [text]
  EN 1977 (k=18): 17 ok, 0 failed  [text]
  EN 1978 (k=19): 18 ok, 0 failed  [text]
  EN 1979 (k=21): 11 ok, 0 failed  [text]
  EN 1980 (k=22): 4 ok, 0 failed  [text]
  EN 1982 (k=67): 3 ok, 0 failed  [text]
  EN 1983 (k=68): 2 ok, 0 failed  [text]
  EN 1984 (k=69): 3 ok, 0 failed  [text]
  EN 1986 (k=70): 1 ok, 0 failed  [text]
  EN 1987 (k=71): 4 ok, 0 failed  [text]
  EN 1988 (k=23): 6 ok, 0 failed  [text]
  EN 1989 (k=73): 6 ok, 0 failed  [text]
  EN 1990 (k=24): 15 ok, 0 failed  [text]
  EN 1991 (k=25): 27 ok, 0 failed  [text]
  EN 1992 (k=26): 18 ok, 0 failed  [text]
  EN 1993 (k=27): 11 ok, 0 failed  [text]
  EN 1994 (k=28): 18 ok, 0 failed  [text]
  EN 1995 (k=29): 26 ok, 0 failed  [text]
  EN 1996 (k=30): 22 ok, 0 failed  [text]
  EN 1997 (k=31): 42 ok, 0 failed  [text]
  EN 1998 (k=32): 35 ok, 0 failed  [text]
  EN 1999 (k=35): 34 ok, 0 failed  [text]
  EN 2000 (k=36): 31 ok, 0 failed  [text]
  EN 2001 (k=37): 28 ok, 0 failed  [text]
  EN 2002 (k=38): 24 ok, 0 failed  [text]
  EN 2003 (k=20): 33 ok, 0 failed  [text]
  EN 2004 (k=33): 41 ok, 0 failed  [text]
  EN 2005 (k=43): 41 ok, 0 failed  [text]
  EN 2006 (k=44): 30 ok, 0 failed  [text]
  EN 2007 (k=47): 30 ok, 0 failed  [text]
  EN 2008 (k=48): 28 ok, 0 failed  [text]
  EN 2009 (k=49): 23 ok, 0 failed  [text]
  EN 2010 (k=50): 35 ok, 0 failed  [text]
  EN 2011 (k=51): 17 ok, 0 failed  [text]
  EN 2012 (k=52): 25 ok, 0 failed  [text]
  EN 2013 (k=53): 13 ok, 0 failed  [text]
  EN 2014 (k=54): 16 ok, 0 failed  [text]
  EN 2015 (k=16): 13 ok, 0 failed  [text]
  EN 2016 (k=11): 17 ok, 0 failed  [text]
  EN 2017 (k=45): 20 ok, 0 failed  [text]
  EN 2018 (k=46): 12 ok, 0 failed  [text]
  EN 2019 (k=55): 15 ok, 0 failed  [text]
  EN 2020 (k=56): 26 ok, 0 failed  [text]
  EN 2021 (k=57): 30 ok, 0 failed  [text]
  EN 2022 (k=58): 27 ok, 0 failed  [text]
  EN 2023 (k=59): 27 ok, 0 failed  [text]
  EN 2024 (k=66): 32 ok, 0 failed  [text]
  EN 2025 (k=74): 25 ok, 0 failed  [text]
  EN 2026 (k=72): 1 ok, 0 failed  [text]
[FR] 55 years (1955–2026)
  FR 1955 (k=20): 5 ok, 0 failed  [text]
  FR 1956 (k=67): 5 ok, 0 failed  [text]
  FR 1957 (k=27): 5 ok, 0 failed  [text]
  FR 1958 (k=36): 5 ok, 0 failed  [text]
  FR 1959 (k=56): 2 ok, 0 failed  [text]
  FR 1960 (k=48): 1 ok, 0 failed  [text]
  FR 1961 (k=80): 2 ok, 0 failed  [text]
  FR 1962 (k=53): 1 ok, 0 failed  [text]
  FR 1963 (k=37): 4 ok, 0 failed  [text]
  FR 1964 (k=68): 1 ok, 0 failed  [text]
  FR 1965 (k=35): 2 ok, 0 failed  [text]
  FR 1966 (k=62): 1 ok, 0 failed  [text]
  FR 1967 (k=54): 1 ok, 0 failed  [text]
  FR 1968 (k=55): 2 ok, 0 failed  [text]
  FR 1970 (k=85): 3 ok, 0 failed  [text]
  FR 1971 (k=58): 1 ok, 0 failed  [text]
  FR 1973 (k=38): 1 ok, 0 failed  [text]
  FR 1974 (k=39): 1 ok, 0 failed  [text]
  FR 1975 (k=5): 2 ok, 0 failed  [text]
  FR 1976 (k=40): 1 ok, 0 failed  [text]
  FR 1977 (k=41): 1 ok, 0 failed  [text]
  FR 1978 (k=49): 4 ok, 0 failed  [text]
  FR 1979 (k=50): 1 ok, 0 failed  [text]
  FR 1980 (k=33): 1 ok, 0 failed  [text]
  FR 1982 (k=4): 2 ok, 0 failed  [text]
  FR 1983 (k=57): 4 ok, 0 failed  [text]
  FR 1984 (k=52): 4 ok, 0 failed  [text]
  FR 1985 (k=42): 1 ok, 0 failed  [text]
  FR 1986 (k=65): 1 ok, 0 failed  [text]
  FR 1987 (k=34): 1 ok, 0 failed  [text]
  FR 1988 (k=64): 3 ok, 0 failed  [text]
  FR 1990 (k=19): 7 ok, 0 failed  [text]
  FR 1991 (k=47): 7 ok, 0 failed  [text]
  FR 1992 (k=1): 4 ok, 0 failed  [text]
  FR 1993 (k=45): 3 ok, 0 failed  [text]
  FR 1994 (k=3): 3 ok, 0 failed  [text]
  FR 1995 (k=28): 3 ok, 0 failed  [text]
  FR 1996 (k=29): 2 ok, 0 failed  [text]
  FR 1997 (k=2): 4 ok, 0 failed  [text]
  FR 2011 (k=71): 14 ok, 0 failed  [text]
  FR 2012 (k=72): 26 ok, 0 failed  [text]
  FR 2013 (k=73): 14 ok, 0 failed  [text]
  FR 2014 (k=74): 15 ok, 0 failed  [text]
  FR 2015 (k=75): 11 ok, 0 failed  [text]
  FR 2016 (k=76): 15 ok, 0 failed  [text]
  FR 2017 (k=77): 4 ok, 0 failed  [text]
  FR 2018 (k=78): 39 ok, 0 failed  [text]
  FR 2019 (k=79): 38 ok, 0 failed  [text]
  FR 2020 (k=81): 19 ok, 0 failed  [text]
  FR 2021 (k=82): 12 ok, 0 failed  [text]
  FR 2022 (k=83): 13 ok, 0 failed  [text]
  FR 2023 (k=84): 25 ok, 0 failed  [text]
  FR 2024 (k=86): 29 ok, 0 failed  [text]
  FR 2025 (k=87): 39 ok, 0 failed  [text]
  FR 2026 (k=88): 14 ok, 0 failed  [text]

TEXT PASS complete: 1517 docs, 0 failed, 1s

=== PASS 2: downloading audio ===
[EN] 68 years (1955–2026)
  EN 1955 (k=2): 5 ok, 0 failed  [audio+text]
  EN 1956 (k=3): 4 ok, 0 failed  [audio+text]
  EN 1957 (k=4): 5 ok, 0 failed  [audio+text]
  EN 1958 (k=5): 5 ok, 0 failed  [audio+text]
  EN 1959 (k=6): 2 ok, 0 failed  [audio+text]
  EN 1960 (k=7): 1 ok, 0 failed  [audio+text]
  EN 1962 (k=60): 1 ok, 0 failed  [audio+text]
  EN 1963 (k=8): 3 ok, 0 failed  [audio+text]
  EN 1964 (k=61): 1 ok, 0 failed  [audio+text]
  EN 1965 (k=9): 9 ok, 0 failed  [audio+text]
  EN 1966 (k=10): 5 ok, 0 failed  [audio+text]
  EN 1967 (k=62): 2 ok, 0 failed  [audio+text]
  EN 1968 (k=63): 1 ok, 0 failed  [audio+text]
  EN 1970 (k=12): 1 ok, 0 failed  [audio+text]
  EN 1971 (k=64): 2 ok, 0 failed  [audio+text]
  EN 1972 (k=65): 3 ok, 0 failed  [audio+text]
  EN 1973 (k=13): 15 ok, 0 failed  [audio+text]
  EN 1974 (k=14): 11 ok, 0 failed  [audio+text]
  EN 1975 (k=15): 22 ok, 0 failed  [audio+text]
  EN 1976 (k=17): 7 ok, 0 failed  [audio+text]
  EN 1977 (k=18): 17 ok, 0 failed  [audio+text]
  EN 1978 (k=19): 18 ok, 0 failed  [audio+text]
  EN 1979 (k=21): 11 ok, 0 failed  [audio+text]
  EN 1980 (k=22): 4 ok, 0 failed  [audio+text]
  EN 1982 (k=67): 3 ok, 0 failed  [audio+text]
  EN 1983 (k=68): 2 ok, 0 failed  [audio+text]
  EN 1984 (k=69): 3 ok, 0 failed  [audio+text]
  EN 1986 (k=70): 1 ok, 0 failed  [audio+text]
  EN 1987 (k=71): 4 ok, 0 failed  [audio+text]
  EN 1988 (k=23): 6 ok, 0 failed  [audio+text]
  EN 1989 (k=73): 6 ok, 0 failed  [audio+text]
  EN 1990 (k=24): 15 ok, 0 failed  [audio+text]
  EN 1991 (k=25): 27 ok, 0 failed  [audio+text]
  EN 1992 (k=26): 18 ok, 0 failed  [audio+text]
  EN 1993 (k=27): 11 ok, 0 failed  [audio+text]
  EN 1994 (k=28): 18 ok, 0 failed  [audio+text]
  EN 1995 (k=29): 26 ok, 0 failed  [audio+text]
  EN 1996 (k=30): 22 ok, 0 failed  [audio+text]
  EN 1997 (k=31): 42 ok, 0 failed  [audio+text]
  EN 1998 (k=32): 35 ok, 0 failed  [audio+text]
  EN 1999 (k=35): 34 ok, 0 failed  [audio+text]
  EN 2000 (k=36): 31 ok, 0 failed  [audio+text]
  EN 2001 (k=37): 28 ok, 0 failed  [audio+text]
  EN 2002 (k=38): 24 ok, 0 failed  [audio+text]
  EN 2003 (k=20): 33 ok, 0 failed  [audio+text]
  EN 2004 (k=33): 41 ok, 0 failed  [audio+text]
  EN 2005 (k=43): 41 ok, 0 failed  [audio+text]
  EN 2006 (k=44): 30 ok, 0 failed  [audio+text]
  EN 2007 (k=47): 30 ok, 0 failed  [audio+text]
  EN 2008 (k=48): 28 ok, 0 failed  [audio+text]
  EN 2009 (k=49): 23 ok, 0 failed  [audio+text]
  EN 2010 (k=50): 35 ok, 0 failed  [audio+text]
  EN 2011 (k=51): 17 ok, 0 failed  [audio+text]
  EN 2012 (k=52): 25 ok, 0 failed  [audio+text]
  EN 2013 (k=53): 13 ok, 0 failed  [audio+text]
  EN 2014 (k=54): 16 ok, 0 failed  [audio+text]
  EN 2015 (k=16): 13 ok, 0 failed  [audio+text]
  EN 2016 (k=11): 17 ok, 0 failed  [audio+text]
  EN 2017 (k=45): 20 ok, 0 failed  [audio+text]
  EN 2018 (k=46): 12 ok, 0 failed  [audio+text]
  EN 2019 (k=55): 15 ok, 0 failed  [audio+text]
  EN 2020 (k=56): 26 ok, 0 failed  [audio+text]
  EN 2021 (k=57): 30 ok, 0 failed  [audio+text]
  EN 2022 (k=58): 27 ok, 0 failed  [audio+text]
  EN 2023 (k=59): 27 ok, 0 failed  [audio+text]
  EN 2024 (k=66): 32 ok, 0 failed  [audio+text]
  EN 2025 (k=74): 25 ok, 0 failed  [audio+text]
  EN 2026 (k=72): 1 ok, 0 failed  [audio+text]
[FR] 55 years (1955–2026)
  FR 1955 (k=20): 5 ok, 0 failed  [audio+text]
  FR 1956 (k=67): 5 ok, 0 failed  [audio+text]
  FR 1957 (k=27): 5 ok, 0 failed  [audio+text]
  FR 1958 (k=36): 5 ok, 0 failed  [audio+text]
  FR 1959 (k=56): 2 ok, 0 failed  [audio+text]
  FR 1960 (k=48): 1 ok, 0 failed  [audio+text]
  FR 1961 (k=80): 2 ok, 0 failed  [audio+text]
  FR 1962 (k=53): 1 ok, 0 failed  [audio+text]
  FR 1963 (k=37): 4 ok, 0 failed  [audio+text]
  FR 1964 (k=68): 1 ok, 0 failed  [audio+text]
  FR 1965 (k=35): 2 ok, 0 failed  [audio+text]
  FR 1966 (k=62): 1 ok, 0 failed  [audio+text]
  FR 1967 (k=54): 1 ok, 0 failed  [audio+text]
  FR 1968 (k=55): 2 ok, 0 failed  [audio+text]
  FR 1970 (k=85): 3 ok, 0 failed  [audio+text]
  FR 1971 (k=58): 1 ok, 0 failed  [audio+text]
  FR 1973 (k=38): 1 ok, 0 failed  [audio+text]
  FR 1974 (k=39): 1 ok, 0 failed  [audio+text]
  FR 1975 (k=5): 2 ok, 0 failed  [audio+text]
  FR 1976 (k=40): 1 ok, 0 failed  [audio+text]
  FR 1977 (k=41): 1 ok, 0 failed  [audio+text]
  FR 1978 (k=49): 4 ok, 0 failed  [audio+text]
  FR 1979 (k=50): 1 ok, 0 failed  [audio+text]
  FR 1980 (k=33): 1 ok, 0 failed  [audio+text]
  FR 1982 (k=4): 2 ok, 0 failed  [audio+text]
  FR 1983 (k=57): 4 ok, 0 failed  [audio+text]
  FR 1984 (k=52): 4 ok, 0 failed  [audio+text]
  FR 1985 (k=42): 1 ok, 0 failed  [audio+text]
  FR 1986 (k=65): 1 ok, 0 failed  [audio+text]
  FR 1987 (k=34): 1 ok, 0 failed  [audio+text]
  FR 1988 (k=64): 3 ok, 0 failed  [audio+text]
  FR 1990 (k=19): 7 ok, 0 failed  [audio+text]
  FR 1991 (k=47): 7 ok, 0 failed  [audio+text]
  FR 1992 (k=1): 4 ok, 0 failed  [audio+text]
  FR 1993 (k=45): 3 ok, 0 failed  [audio+text]
  FR 1994 (k=3): 3 ok, 0 failed  [audio+text]
  FR 1995 (k=28): 3 ok, 0 failed  [audio+text]
  FR 1996 (k=29): 2 ok, 0 failed  [audio+text]
  FR 1997 (k=2): 4 ok, 0 failed  [audio+text]
  FR 2011 (k=71): 14 ok, 0 failed  [audio+text]
  FR 2012 (k=72): 26 ok, 0 failed  [audio+text]
  FR 2013 (k=73): 14 ok, 0 failed  [audio+text]
  FR 2014 (k=74): 15 ok, 0 failed  [audio+text]
  FR 2015 (k=75): 11 ok, 0 failed  [audio+text]
  FR 2016 (k=76): 15 ok, 0 failed  [audio+text]
  FR 2017 (k=77): 4 ok, 0 failed  [audio+text]
  FR 2018 (k=78): 39 ok, 0 failed  [audio+text]
  FR 2019 (k=79): 38 ok, 0 failed  [audio+text]
  FR 2020 (k=81): 19 ok, 0 failed  [audio+text]
  FR 2021 (k=82): 12 ok, 0 failed  [audio+text]
  FR 2022 (k=83): 13 ok, 0 failed  [audio+text]
  FR 2023 (k=84): 25 ok, 0 failed  [audio+text]
  FR 2024 (k=86): 29 ok, 0 failed  [audio+text]
  FR 2025 (k=87): 39 ok, 0 failed  [audio+text]
  FR 2026 (k=88): 14 ok, 0 failed  [audio+text]

AUDIO PASS complete.

No failures.
